name,latitud,longitud,category
Bright Horizons at Spear Street,37.79078650282475,-122.3925358134918,Daycare
St. Mary's International Preschool,37.795976,-122.404742,Preschool
Yerba Buena Gardens Child Development Center,37.78242521542289,-122.40085707715583,Preschool
True Sunshine Preschool Center,37.7929801940918,-122.40785217285156,Preschool
Seabird preschool,37.79718017578125,-122.40779876708984,Preschool
Bright Horizons at 2nd Street,37.7848078,-122.3948994,Preschool
Kids by the Bay - Financial District,37.785471,-122.39803700000002,Preschool
Mission Bay Montessori,37.775508880615234,-122.39421844482422,Preschool
Apple Tree Preschool,37.776954519912685,-122.40514925868479,Preschool
Kids by the Bay - Civic Center,37.77943000926396,-122.41181911544112,Preschool
Destination Art,37.80432242850787,-122.41174572790253,Preschool
North Beach Kids,37.802876,-122.413579,Preschool
826 Valencia Mission Bay,37.77164,-122.39148,Preschool
College Papers Plus,37.7703718,-122.38712479999998,Preschool
Studio Montessori,37.771053,-122.405045,Preschool
Bright Horizons at 1700 Montgomery Street,37.80525588989258,-122.4047622680664,Preschool
Montessori House Of Children,37.78523594799047,-122.4235665733102,Preschool
LePort School,37.776485920736874,-122.41888653123537,Preschool
Golden Gate Guppies Preschool,37.78912353515625,-122.43450927734375,Preschool
Mission Montessori,37.776597,-122.418816,Preschool
Glow Dance,37.7980181,-122.4349714,Preschool
Kids Club Preschool,37.79845236216007,-122.4351328611374,Preschool
Bright Horizons at Kansas Street,37.7666032,-122.403834,Preschool
Chibi Chan Preschool,37.78717202601414,-122.43726789951326,Preschool
Marin Day Schools Sherith Israel,37.7893367,-122.4319931,Preschool
Chibi Chan Too,37.783331,-122.445756,Preschool
La Scuola Internazionale di San Francisco,37.76071069172088,-122.38937934383625,School
The Battery,37.79785815420414,-122.40110334081206,Club House
Wingtip,37.79446296800666,-122.40280893399066,Club House
San Francisco Giants Home Clubhouse,37.77825684452602,-122.39117295999083,Club House
Millennium Tower Club Level,37.79088156505422,-122.39603793859166,Club House
The Olympic Club,37.788181056861674,-122.41106656038573,Gym / Fitness Center
Indiegogo HQ,37.78157536914724,-122.40777806741185,Club House
The Grove,37.786521,-122.40196,Café
Cat Club,37.77532380183384,-122.40990075364923,Nightclub
F8 | 1192 Folsom,37.77525997104541,-122.40997307707066,Nightclub
The Great Northern,37.7674784367717,-122.4064062479358,Nightclub
Jolene’s,37.76560954693832,-122.41323461829955,Nightclub
Monarch,37.78100244847315,-122.40855542889987,Nightclub
Punch Line Comedy Club,37.79521770600916,-122.39995724709122,Comedy Club
DNA Lounge,37.770956284614954,-122.41268883306263,Nightclub
Grand Hyatt San Francisco,37.7890701185626,-122.40716779993376,Hotel
The Starlight Room,37.78899161020305,-122.40841136135714,Nightclub
Bootie San Francisco,37.77093906046874,-122.41283099747609,Nightclub
Gold Club,37.7859444,-122.3996934,Strip Club
Tunnel Top,37.790278000572236,-122.4072361885583,Nightclub
Audio Nightclub,37.771378317023306,-122.41383186758934,Nightclub
Equinox Sports Club San Francisco,37.786648797219776,-122.40456753735126,Gym
Madrone Art Bar,37.77402499617328,-122.4374303917682,Nightclub
Hyatt Regency San Francisco,37.7941505606358,-122.39605630246757,Hotel
Power Exchange,37.783300712350176,-122.41248305633135,Nightclub
Public Works,37.768947757577784,-122.41939052710111,Event Space
Death Guild,37.770971427358845,-122.41271260029937,Nightclub
500 Club,37.763127342919965,-122.42406741172275,Nightclub
9:20 Special,37.7852974340749,-122.44096020014926,Nightclub
1015 Folsom,37.77820409904968,-122.40577364319502,Nightclub
15 Romolo,37.79813384627597,-122.40637986504598,Cocktail Bar
Breakfast of Champions,37.76802444225814,-122.40674322842855,Nightclub
Equinox Pine Street,37.79203563226458,-122.40128885292381,Gym
Bay Club San Francisco,37.803354492579366,-122.4029163928916,Gym / Fitness Center
OMG!,37.78062535400536,-122.40916797655771,Nightclub
Bay Club SF Tennis,37.77657116788515,-122.39794804801016,Tennis Court
The Fairmont San Francisco,37.79236732627899,-122.41046086117939,Hotel
Love + Propaganda,37.78883841522084,-122.4068918711642,Nightclub
Halcyon,37.77157537321351,-122.41390493831862,Nightclub
The Sycamore,37.762740458741554,-122.4196762752502,Bar
Underground SF,37.77230508350501,-122.42933638916287,Nightclub
"The Ritz-Carlton, San Francisco",37.791812,-122.407101,Hotel
InterContinental San Francisco,37.781973,-122.4047337,Hotel
Latin American Club,37.75539300926289,-122.4207389027174,Bar
Daniel's Café,37.785283129942606,-122.40887864145027,Café
InterContinental Mark Hopkins,37.791773814361996,-122.41055419344325,Hotel
San Francisco Marriott Marquis,37.7853366,-122.4044068,Hotel
Temple Nightclub,37.787898354727325,-122.39722701763962,Nightclub
Raven Bar,37.775699,-122.408804,Nightclub
Monroe,37.79807996778778,-122.40506712303329,Nightclub
Club Donatello,37.7878299782698,-122.41051459540125,Resort
GOGO JETS - San Francisco Private Jet Charter,37.79235203792972,-122.39794403314589,Plane
Delta Flight 6439,37.80549893272792,-122.38292848430812,Plane
Avis Car Rental,37.787639,-122.412783,Rental Car Location
American Airporter,37.78164,-122.40485,Taxi
Hyatt Regency San Francisco,37.7941505606358,-122.39605630246757,Hotel
Hertz,37.786569,-122.409923,Rental Car Location
Gate 10,37.76469,-122.423949,Airport Gate
Miles Car Rental San Francisco,37.7903137207031,-122.404182434082,Rental Car Location
San Francisco Passport Agency,37.78484693761571,-122.39783488361275,Government Building
Newport Private Jet,37.77974624260648,-122.41329967975618,Airport Service
"Limo 5 Star, LLC",37.7828241,-122.4323695,Airport Tram
Eternity Limousine Service,37.793896,-122.396973,Airport Tram
CityOne Limo Service,37.79295,-122.398102,Airport Tram
Service Tracking Systems,37.79048389235252,-122.40418151349184,Business Service
UCS Limousine and Car Service,37.78811261057854,-122.40541599690914,Airport Tram
Hazal Inc,37.76786300000001,-122.405289,Airport Tram
YU CO INC,37.7654,-122.40279,Airport Tram
Five Emerald Limousine,37.78083,-122.43081,Airport Tram
Limousine in San Francisco,37.804633,-122.435037,Airport Tram
1st Classic Limousine & Car Services,37.753734,-122.416878,Airport Tram
Duboce Park,37.769578302091325,-122.43296027183533,Park
Alamo Square,37.77618426288254,-122.43463363991498,Park
Pet Grooming Headquarters,37.79854203331253,-122.4246076605325,Pet Service
sweetgreen,37.7872625,-122.3986346,Vegetarian / Vegan Restaurant
Enjoy Vegetarian Restaurant,37.79583330118931,-122.40509327113475,Vegetarian / Vegan Restaurant
Mixt,37.79428187035759,-122.40154935955441,Vegetarian / Vegan Restaurant
The Flying Falafel,37.781323,-122.411138,Vegetarian / Vegan Restaurant
Golden Era Vegan,37.78149473910515,-122.41682231651436,Vegetarian / Vegan Restaurant
Chisme,37.78846715609786,-122.41480239709736,Vegetarian / Vegan Restaurant
Ananda Fuara,37.77769251469199,-122.41635331222618,Vegetarian / Vegan Restaurant
Ike's Sandwiches,37.78514559764317,-122.4196290626362,Vegetarian / Vegan Restaurant
Gracias Madre,37.761484,-122.419144,Vegetarian / Vegan Restaurant
Elixiria,37.792053,-122.396844,Vegetarian / Vegan Restaurant
Shizen,37.76819038843062,-122.42162728988704,Vegetarian / Vegan Restaurant
Mixt,37.788844,-122.399149,Vegetarian / Vegan Restaurant
Wildseed,37.7976259,-122.4324404,Vegetarian / Vegan Restaurant
The Plant Cafe Organic,37.79252480866014,-122.39846488908981,Vegetarian / Vegan Restaurant
Greens Restaurant,37.80675737834734,-122.43228771149803,Vegetarian / Vegan Restaurant
Baia,37.77815,-122.421775,Vegetarian / Vegan Restaurant
Good Life Grocery,37.760060051464905,-122.3967928465983,Grocery Store
Lucky Creation Restaurant,37.79505604072138,-122.40727052445759,Vegetarian / Vegan Restaurant
Hella Vegan Eats,37.770232781504006,-122.41399998333559,Vegetarian / Vegan Restaurant
Cha-Ya Vegetarian Japanese Restaurant,37.760786300576164,-122.42155699648818,Vegetarian / Vegan Restaurant
Nourish Cafe,37.79052853432049,-122.41729615432375,Vegetarian / Vegan Restaurant
Udupi Palace,37.75676871020177,-122.42108520192178,Vegetarian / Vegan Restaurant
Next Level Burger,37.76465188329896,-122.40280100147268,Vegetarian / Vegan Restaurant
Thai Idea Vegetarian Restaurant,37.783395,-122.419141,Vegetarian / Vegan Restaurant
Mixt,37.79158868733382,-122.40078673484405,Vegetarian / Vegan Restaurant
